股票代码,主营业务,产品类型,产品名称,经营范围,股票名称
300014,消费电池（包括锂原电池、小型锂离子电池、圆柱电池）、动力电池（包括新能源车电池及其电池系统）和储能电池的研发、生产和销售。,消费电池、动力电池、储能电池,锂原电池、小型锂离子电池、圆柱电池、软包三元电池、方形三元电池、大圆柱电池、大方形电池、方形磷酸铁锂电池、圆柱铁锂电池,一般项目：电池制造；电池销售；新材料技术研发；新兴能源技术研发；合成材料制造（不含危险化学品）；合成材料销售；金属材料制造；金属材料销售；新型金属功能材料销售；高性能有色金属及合金材料销售；智能仪器仪表制造；智能仪器仪表销售；配电开关控制设备研发；电子元器件与机电组件设备制造；电子元器件与机电组件设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；住房租赁；非居住房地产租赁；土地使用权租赁；金属切削加工服务；机械设备租赁；物业管理；合同能源管理；专用设备修理；电气设备修理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,亿纬锂能
301167,建筑设计、咨询、研发及其延伸业务。,常规建筑设计业务、新兴业务设计与咨询、EPC业务、施工图审查业务、工程质量检测业务,常规建筑设计业务、新兴业务设计与咨询、EPC业务、施工图审查业务、工程质量检测业务,许可项目：建设工程设计；国土空间规划编制；建设工程施工；建筑智能化系统设计；地质灾害治理工程勘查（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程技术服务（规划管理、勘察、设计、监理除外）；工程管理服务；建筑材料销售；办公服务；图文设计制作；物业管理；住房租赁；消防技术服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）,建研设计
002853,中高端定制橱柜、衣柜、木门及其配套家居产品的研发、设计、生产、销售、安装与售后等服务。,整体橱柜、全屋定制、门墙,定制橱柜、厨电、卫浴柜、阳台柜、定制衣柜、书柜、酒柜、木门、墙板,一般项目：家具制造；家具销售；家居用品制造；家居用品销售；家具零配件生产；家具零配件销售；家具安装和维修服务；厨具卫具及日用杂品研发；厨具卫具及日用杂品批发；厨具卫具及日用杂品零售；门窗制造加工；门窗销售；木材加工；地板制造；地板销售；建筑装饰、水暖管道零件及其他建筑用金属制品制造；建筑装饰材料销售；建筑用石加工；日用木制品制造；日用木制品销售；竹制品销售；家用电器研发；家用电器制造；家用电器销售；日用家电零售；日用电器修理；非电力家用器具制造；非电力家用器具销售；五金产品研发；五金产品制造；五金产品零售；家用纺织制成品制造；针纺织品销售；针纺织品及原料销售；塑料制品销售；卫生洁具研发；卫生洁具制造；卫生洁具销售；搪瓷制品制造；搪瓷制品销售；日用玻璃制品销售；日用百货销售；日用杂品销售；纸和纸板容器制造；纸制品销售；专业设计服务；人工智能行业应用系统集成服务；信息系统集成服务；品牌管理；生活垃圾处理装备制造；生活垃圾处理装备销售；环境保护专用设备制造；环境保护专用设备销售；气体、液体分离及纯净设备制造；气体、液体分离及纯净设备销售；工艺美术品及收藏品零售（象牙及其制品除外）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）（以上经营范围涉及货物进出口、技术进出口）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。,皮阿诺
300002,手机游戏、软件和信息技术服务。,AI-云服务、游戏、物联网/通讯、创新服务,AI-云服务、游戏、物联网/通讯、创新服务,计算机软硬件、网络综合管理及网络系统集成、通讯设备领域的技术开发、技术服务、技术转让、技术培训、技术推广；软件开发；软件咨询；应用软件服务；电子信息技术咨询（中介除外）；委托生产通讯设备；数据处理（数据处理中的银行卡中心、PUE值在1.4以上的云计算数据中心除外）；销售计算机、软件及辅助设备、通讯设备、家用电器、电子产品、安全技术防范产品；电子信息技术系统工程设计；通讯设备售后服务；技术进出口、代理进出口、货物进出口；出租办公用房；第一类增值电信业务中的互联网接入服务业务、互联网数据中心业务；互联网信息服务。（市场主体依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,神州泰岳
688378,OLED关键功能材料（含有机发光材料及配套功能材料）与蒸发源设备的研发、生产及销售。,OLED有机发光材料、光敏聚酰亚胺（PSPI）、OLED高性能封装材料、线性蒸发源设备、MicroOLED蒸镀机、钙钛矿蒸镀设备,OLED有机发光材料、光敏聚酰亚胺（PSPI）、OLED高性能封装材料、线性蒸发源设备、MicroOLED蒸镀机、钙钛矿蒸镀设备,光电材料及其相关产品研究开发、生产、销售及售后技术服务；销售机械设备（以上各项国家法律法规禁止的不得经营；应经专项审批的项目未获批准之前不得经营）,奥来德
300496,智能操作系统产品和技术提供。,软件开发、技术服务、软件许可、商品销售及其他,软件开发、技术服务、软件许可、商品销售及其他,开发计算机软件；销售自行开发的产品；技术咨询、技术服务；计算机软件技术培训；计算机系统服务；商务咨询；从事通讯设备、电子产品的批发及进出口（不涉及国营贸易管理商品；涉及配额、许可证管理商品的按国家有关规定办理申请手续）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,中科创达
688127,光学元器件的研发、生产和销售。,光学棱镜、光学透镜、光学晶圆,光学棱镜、光学透镜、光学晶圆,光学元器件、光电光伏组件、专用光学仪器和设备的研发、制造、销售及技术咨询服务;光学器件原辅料的销售(不含危险化学品);以上相关产品和设备的进出口业务(国家禁止限制经营的及危险化学品除外)。,蓝特光学
688083,CAD/CAM/CAE等研发设计类工业软件研发、推广与销售业务。,ZWCAD系列、ZW3D系列、博超产品系列,设计协同平台ZWCAD365、二维设计平台ZWCAD、基于ZWCAD平台的行业应用软件、ZWCAD个人版、CAD教育产品、三维CAD/CAE/CAM一体化软件平台ZW3D、通用前后处理平台ZWMeshWorks、结构仿真软件ZWSimStructural、低频电磁仿真软件ZWSimMetas、离散元仿真软件ZWSimDEM、协同设计平台ZWTeammate、3D教育产品、博超产品系列,软件开发；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；教育咨询服务（不含涉许可审批的教育培训活动）；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；软件销售；非居住房地产租赁；许可经营项目：货物进出口；技术进出口；非居住房地产租赁；第二类增值电信业务；办公设备销售；日用品销售,中望软件
920892,工程咨询、工程造价、招标代理、项目管理和工程监理等服务。,工程咨询、工程造价、招标代理服务、项目管理和工程监理及其他、房屋租赁,工程咨询、工程造价、招标代理服务、项目管理和工程监理及其他、房屋租赁,社会经济咨询服务，融资咨询服务，社会稳定风险评估，政策法规课题研究，节能管理服务，企业管理咨询，市场调查（不含涉外调查），社会调查（不含涉外调查），信息技术咨询服务，工程造价咨询服务，工程管理服务，招投标代理服务，政府采购代理服务，非居住房地产租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,广咨国际
000408,氯化钾、碳酸锂的研发、生产与销售。,氯化钾、碳酸锂,氯化钾、电池级碳酸锂,许可项目：矿产资源（非煤矿山）开采；道路货物运输（不含危险货物）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：国内集装箱货物运输代理；土石方工程施工；矿山机械销售；机械电气设备销售；建筑材料销售；以自有资金从事投资活动；自有资金投资的资产管理服务；企业管理咨询；化肥销售；日用百货销售；针纺织品销售；五金产品零售；化工产品销售（不含许可类化工产品）；金属矿石销售；珠宝首饰批发；建筑装饰材料销售；工艺美术品及收藏品零售（象牙及其制品除外）；园艺产品销售；办公设备耗材销售；有色金属合金销售；非金属矿及制品销售；金属材料销售；水泥制品销售；煤炭及制品销售；酒店管理；物业管理；普通货物仓储服务（不含危险化学品等需许可审批的项目）；通讯设备销售；电子产品销售；家用电器销售；计算机系统服务；软件开发；信息系统运行维护服务；计算机软硬件及辅助设备零售；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；非居住房地产租赁；住房租赁；货物进出口；技术进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,藏格矿业
688298,体外诊断产品的研发、生产与销售。,生物原料、免疫诊断平台、分子诊断平台、流式荧光（液态芯片）平台、诊断试剂以及配套诊断仪器、动物疫苗、第三方独立检测实验室,生物原料、免疫诊断平台、分子诊断平台、流式荧光（液态芯片）平台、诊断试剂以及配套诊断仪器、动物疫苗、第三方独立检测实验室,基因制品、生物制品研究、开发、生产；第二、三类6840体外诊断试剂及第二类6840临床检验分析仪器生产；医用塑料包装材料加工、销售，模具加工、销售；销售本公司产品。(不涉及《外商投资产业指导目录》限制类、禁止类项目)(涉及许可证或专项审批的凭许可证或待审批后经营)(依法须经批准的项目，经相关部门批准后方可开展经营活动),东方生物
000626,作物科学、贸易、特种油脂三大领域。,塑胶类商品贸易、橡塑类商品贸易、液化类商品贸易、金属类商品贸易、农产品类商品贸易、其他类商品贸易、作物科学、特种油脂、物流代理服务,塑胶类商品贸易、橡塑类商品贸易、液化类商品贸易、金属类商品贸易、农产品类商品贸易、其他类商品贸易、作物科学、特种油脂、物流代理服务,实业投资，自营和代理各类商品和技术的进出口业务，国内贸易，自营房屋及场地租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动）。本公司及各子公司（以下简称“本公司”）主要经营活动：大宗商品交易、流通综合服务、生物农药生产和销售、特种油脂生产和销售。,远大控股
688687,病毒及免疫性疾病领域创新药物研发、生产、销售。,生物药品、化学药品,生物药品、化学药品,技术开发、技术咨询、技术转让、技术服务；货物进出口、技术进出口、代理进出口；设备租赁；物业管理；销售医疗器械Ⅰ、Ⅱ类；生产治疗用生物制品（人干扰素α2b注射液、注射用重组人干扰素α2b、人干扰素α2b阴道泡腾片、培集成干扰素α-2注射液、重组人干扰素α2a注射液）、小容量注射剂、冻干粉针剂、片剂、硬胶囊剂、颗粒剂；销售第Ⅲ类医疗器械；（市场主体依法自主选择经营项目，开展经营活动；销售第Ⅲ类医疗器械。以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,凯因科技
603348,汽车铝合金精密铸件的研发、生产和销售。,汽车类、非汽车类,汽车类、非汽车类,一般项目：汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；有色金属铸造；模具制造；模具销售；专用设备制造（不含许可类专业设备制造）；企业总部管理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,文灿股份
301331,中成药、化学药及健康私护用品的研发、生产及销售。,妇科用药、儿科用药、呼吸科用药、其他,洁尔阴洗液、洁尔阴软膏、洁尔阴泡腾片、恩威草本抑菌洗液、山麦健脾口服液、化积口服液、健儿药丸、小儿氨酚黄那敏颗粒、小儿咳喘灵颗粒、加味藿香正气合剂、复方氨酚烷胺片、复方银翘氨敏胶囊、抗病毒口服液、六味地黄胶囊、人参养荣膏、益肺健脾颗粒、玉屏风口服液,中药材，中药饮片，中成药，化学原料药及制剂，抗生素原料药及制剂，生化药品(不含冷藏，冷冻药品)的批发；医疗器械批发：Ⅲ类(6815注射穿刺器械，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂，6866医用高分子材料及制品)，Ⅱ类(6801基础外科手术器械，6803神经外科手术器械，6806口腔科手术器械，6807胸腔心血管外科手术器械，6808腹部外科手术器械，6809泌尿肛肠外科手术器械，6810矫形外科(骨科)手术器械，6812妇产科用手术器械，6815注射穿刺器械，6820普通诊察器械，6824医用激光仪器设备，6827中医器械，6840临床检验分析仪器及诊断试剂(诊断试剂除外)，6841医用化验和基础设备器具，6854手术室，急救室，诊疗室设备及器具，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂，6866医用高分子材料及制品)，I类医疗器械；中药材收购销售；批发销售消毒产品(消毒剂，卫生用品)。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,恩威医药
688651,网络安全产品的研发、生产和销售，并提供相关网络安全服务。,卫星互联网安全业务、网络空间地图业务、基于场景与实战的网络安全业务,卫星通信加密系统、高速链路加密系统、卫星密码服务类产品、卫星安全检测系统、卫星互联网测绘系统、卫星互联网安全服务、网络资产类产品、大数据分析类产品、安全检测类产品、应用安全防护类产品、安全管理与溯源分析类产品、安全审计类产品、场景安全类产品、网络安全服务,一般项目：软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息系统集成服务；计算机软硬件及外围设备制造；信息安全设备制造；通信设备制造；商用密码产品生产；网络与信息安全软件开发；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；信息安全设备销售；通信设备销售；商用密码产品销售；软件销售；互联网安全服务；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,盛邦安全
688582,高性能硅基MEMS惯性传感器的研发、测试与销售。,集成电路产品,MEMS陀螺仪、MEMS加速度计、惯性测量单元、技术服务,从事MEMS项目技术开发、技术转让、技术服务、技术咨询；MEMS器件及组件、微电子器件及组件、传感器应用系统集成研究、开发、设计、生产及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,芯动联科
300738,提供互联网云计算与大数据基础服务综合解决方案。,IDC服务、其他互联网综合服务、分布式光伏节能服务,IDC服务、其他互联网综合服务、分布式光伏节能服务,工程和技术研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；网络技术服务；信息系统运行维护服务；信息技术咨询服务；网络设备销售；计算机软硬件及辅助设备零售；信息系统集成服务；软件开发；技术进出口；货物进出口；基础电信业务；第一类增值电信业务；第二类增值电信业务；互联网信息服务。,奥飞数据
300814,双面及多层线路板、柔性线路板的生产和销售。,单面板、双面板、多层板、封装基板,高频高速板、金属基板、刚挠结合板、高阶HDI板、内埋器件板,双面及多层线路板、柔性线路板的生产和销售；技术及货物进出口（不含分销、国家专营专控商品）；生产经营新型电子元器件（频率控制与选择元件）--高频微波线路板、半导体专用材料（半导体载板）的生产及销售（上述增营项目在松岗分厂生产）。,中富电路
603778,异质结、TOPCON等电池/组件的生产与销售；光伏电站EPC业务为业主提供可行性研究、方案设计、物资采购、设备安装、工程施工、运维等系列环节的全过程服务；园林工程施工、园林景观设计。,光伏组件及电池、光伏电站EPC及运维业务、园林工程、园林景观设计、园林行业其他,光伏组件及电池、光伏电站EPC及运维业务、园林工程、园林景观设计、园林行业其他,一般项目：信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；新能源原动设备销售；太阳能发电技术服务；发电技术服务；储能技术服务；太阳能热发电产品销售；新兴能源技术研发；电力行业高效节能技术研发；城市绿化管理；园林绿化工程施工；城市公园管理；规划设计管理；树木种植经营；发电机及发电机组销售；光伏发电设备租赁；光伏设备及元器件销售；光伏设备及元器件制造；电池制造；电池销售；电子元器件与机电组件设备制造；电子元器件与机电组件设备销售；蓄电池租赁；电池零配件销售；电池零配件生产；电子专用材料制造；电子专用材料销售；电子专用材料研发；电力电子元器件销售；先进电力电子装置销售；电力电子元器件制造；电力设施器材制造；光通信设备制造；光通信设备销售；人工智能应用软件开发；技术进出口；进出口代理；货物进出口；太阳能热发电装备销售；雨棚销售；电线、电缆经营；住宅水电安装维护服务；新材料技术研发；机械电气设备销售；电工仪器仪表销售；电工仪器仪表制造；太阳能热利用产品销售；非电力家用器具销售；非电力家用器具制造；风力发电技术服务；市政设施管理；建筑工程机械与设备租赁；招投标代理服务；电气设备修理；工程管理服务；合同能源管理；半导体器件专用设备销售；风电场相关装备销售；物业管理；停车场服务；家政服务；专业保洁、清洗、消毒服务；建筑装饰材料销售；机械设备销售；对外承包工程；森林经营和管护。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：发电业务、输电业务、供（配）电业务；供电业务；输电、供电、受电电力设施的安装、维修和试验；人防工程设计；建设工程设计；电气安装服务；特种设备安装改造修理；建筑劳务分包。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,国晟科技
920035,仪器仪表、智能温控系统的研发、生产和销售，并提供行业解决方案和AI云平台服务。,冷链智能控制及监测记录类产品、环境质量检测产品、冷链智能控制及监测记录服务,冷链智能控制及监测记录类产品、环境质量检测产品、冷链智能控制及监测记录服务,温度控制器、测量及控制仪器、工业自动化控制设备、制冷暖通空调系统控制设备、环境测量与监控设备、汽车电子控制设备、照明器材及控制设备的开发、生产、销售；冷链物联网、人工智能、大数据处理、云计算、云平台的技术研发、技术咨询、技术转让、技术服务。自营和代理各类商品及技术的进出口业务（国家限定经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：第一类增值电信业务；第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：互联网销售（除销售需要许可的商品）；信息技术咨询服务；信息系统集成服务；信息系统运行维护服务；软件开发；数据处理和存储支持服务；节能管理服务；计量技术服务；电器辅件制造；电器辅件销售；照明器具制造（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,精创电气
600130,电子通讯产品、通讯系统、计算机及配件、现代办公设备的研究开发、制造、维修和提供信息服务。,手机及配件、智能设备、车载模组,手机及配件、智能设备、车载模组,一般经营项目：电子通讯产品、通讯系统、计算机及配件、现代办公设备研究开发、制造、维修；信息服务；根据[1999]外经贸政审函字第1957号文件经营进出口业务。,波导股份
603236,物联网领域无线通信模组及其解决方案的设计、研发、生产与销售服务。,蜂窝模组（5G/4G/3G/2G/LPWA）、车载前装模组、智能模组（5G/4G/边缘计算）、短距离通信模组(Wi-Fi&BT)、GNSS定位模组、卫星通信模组、天线,蜂窝模组（5G/4G/3G/2G/LPWA）、车载前装模组、智能模组（5G/4G/边缘计算）、短距离通信模组(Wi-Fi&BT)、GNSS定位模组、卫星通信模组、天线,许可项目：货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：通信技术、电子科技、仪器仪表、计算机硬件领域内的技术开发、技术咨询、技术服务、技术转让；计算机软硬件及辅助设备（除计算机信息系统安全专用产品）、电子产品、仪器仪表、电子元器件、通讯设备的销售；电子配件组装和销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,移远通信
301327,锂电池储能类产品及光伏产品的研发、生产、品牌、销售及服务。,储能产品、光伏产品,便携储能产品、家庭储能产品、光伏产品,一般经营项目是：锂电池、锂电池配件、充电器的研发与销售；新能源产品、电子产品的研发及销售；国内贸易；货物及技术进出口；动力电池、储能电池系统的开发与销售；软件开发；新能源电池、动力电池的再回收利用技术开发；新能源电池、动力电池销售；电池管理系统、换流柜、逆变柜/器、汇流箱、开关柜、储能机组的研发与销售；电动汽车充/换电站及充/换电设备、电动汽车充/换电设备检定装置、箱式移动电池储能电站、储能单元的研发与销售；太阳能发电系统的技术开发与销售；软件技术服务，软件技术转让，电子商务平台的开发建设，计算机网络平台的开发及建设，软件开发系统集成服务，贸易咨询服务，信息技术咨询服务，电子产品设计服务，电子技术服务，家用电器零售。（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营，依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：锂电池、锂电池配件、充电器的生产；动力电池的生产与制造；新能源产品、电子产品的生产；电池管理系统、换流柜、逆变柜/器、汇流箱、开关柜、储能机组的生产；电动汽车充/换电站及充/换电设备、电动汽车充/换电设备检定装置、箱式移动电池储能电站、储能单元的生产；太阳能配件加工制造；太阳能电池加工制造；家用电器生产。,华宝新能
300518,直播电商业务、电商直销业务及矿产品业务等。,游戏业务、电商直销业务、直播电商业务、租赁,游戏业务、电商直销业务、直播电商业务、租赁,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业互联网数据服务；软件开发；软件销售；技术进出口；计算机软硬件及外围设备制造；通信设备销售；移动终端设备制造；专业设计服务；信息技术咨询服务；电力电子元器件销售；国内贸易代理；货物进出口；进出口代理。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：互联网游戏服务；第二类增值电信业务；网络文化经营；音像制品制作；音像制品复制；广播电视节目制作经营；电视剧发行。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准),新迅达
603866,以面包及糕点为核心的优质烘焙类产品的生产及销售。,面包及糕点、月饼,常规面包、新品面包、量贩装系列产品,食品生产、销售；农副食品加工、销售；食品生产专用设备、农副食品加工专用设备制造、销售；日用百货批发、零售；食品、初级农产品批发；企业管理服务、仓储服务(不含危险化学品)、市场营销策划、包装服务、搬运装卸服务、道路普通货运；食品技术开发、技术转让、技术咨询、技术服务；自有设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,桃李面包
002681,消费电子整机及其核心部件的研发、设计、生产与销售。,电声产品、健康电器、智能可穿戴产品、智能门锁,电声产品、健康电器、智能可穿戴产品、智能门锁,一般经营项目是：兴办实业(具体项目另行申报)；国内商业，物资供销业；货物及技术进出口(以上均不含法律，行政法规，国务院决定规定需前置审批和禁止的项目)。智能家庭消费设备制造；智能家庭消费设备销售；可穿戴智能设备制造；可穿戴智能设备销售；人工智能应用软件开发；物联网技术研发；配电开关控制设备研发；配电开关控制设备制造；配电开关控制设备销售；安防设备制造；安防设备销售；汽车零部件及配件制造；住房租赁。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可经营项目是：电声产品，玩具产品，塑胶产品，电子产品及其元器件的产销；普通货运(《道路运输经营许可证》有效期内经营)；经营停车场；通信设备，通信软件，网络工程，从事通讯工程技术领域内的技术开发，生产，技术咨询，技术服务及市场营销。,奋达科技
300329,钢琴产品的研发、制造、销售与服务及艺术教育培训等业务，重点聚焦智能数码钢琴领域的研发与市场推广。,立式钢琴、三角钢琴、智能数码钢琴、码克、钢琴配件、小乐器、艺术培训,立式钢琴、三角钢琴、智能数码钢琴、码克、钢琴配件、小乐器、艺术培训,钢琴制造；乐器制品、汽车配件、装潢五金、模具制品、非金属制品模具设计、加工、制造；教育信息咨询（不含出国留学咨询与中介服务、文化教育培训、职业技能培训）；乐器租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,海伦钢琴
300549,各类精密零部件的研发、生产与销售。,冲裁类零部件、滑动导向类零部件、斜楔机构、弹性元件、模具周边零件、非标定制零件、齿轮齿条、减速机、直线导轨副方轨、刨刀、磨头类工具、骨科手术工具、齿科手术工具、手术机器人零件、工装夹治具,冲裁类零部件、滑动导向类零部件、斜楔机构、弹性元件、模具周边零件、非标定制零件、齿轮齿条、减速机、直线导轨副方轨、刨刀、磨头类工具、骨科手术工具、齿科手术工具、手术机器人零件、工装夹治具,生产精密模具零件、模具、模具制造设备及其零配件；机械零部件设计、加工与技术咨询；热处理加工；销售自产产品。从事与本企业生产同类产品的商业批发及进出口业务；自有厂房租赁。（以上商品进出口不涉及国营贸易、进出口配额许可证、出口配额招标、出口许可证等专项管理的商品）（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：第二类医疗器械生产；第三类医疗器械生产；第三类医疗器械经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：齿轮及齿轮减、变速箱制造；轴承、齿轮和传动部件制造；齿轮及齿轮减、变速箱销售；轴承、齿轮和传动部件销售；高速精密齿轮传动装置销售；机床功能部件及附件销售；工业自动控制系统装置销售；第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,优德精密
600845,软件开发及工程服务、服务外包、系统集成。,软件开发及工程服务、服务外包、系统集成,软件开发及工程服务、服务外包、系统集成,一般项目：软件开发；软件销售；软件外包服务；信息系统集成服务；信息系统运行维护服务；信息技术咨询服务；数据处理和存储支持服务；大数据服务；云计算装备技术服务；人工智能基础资源与技术平台；工业自动控制系统装置制造；工业自动控制系统装置销售；智能控制系统集成；智能机器人的研发；工业机器人制造；工业机器人安装、维修；工业机器人销售；互联网安全服务；网络技术服务；商用密码产品销售；信息安全设备销售；网络设备销售；物联网技术研发；物联网应用服务；物联网技术服务；电机及其控制系统研发；智能基础制造装备制造；物料搬运装备制造；机械电气设备制造；智能基础制造装备销售；物料搬运装备销售；机械电气设备销售；轨道交通运营管理系统开发；轨道交通通信信号系统开发；计算机及办公设备维修；仪器仪表修理；工程和技术研究和试验发展（除人体干细胞、基因诊断与治疗技术开发和应用，中国稀有和特有的珍贵优良品种）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；安全技术防范系统设计施工服务；工业工程设计服务；工程技术服务（规划管理、勘察、设计、监理除外）；数字技术服务；计算机软硬件及辅助设备批发；仪器仪表销售；先进电力电子装置销售；销售代理；对外承包工程；技术进出口；货物进出口；租赁服务（不含许可类租赁服务）；非居住房地产租赁；离岸贸易经营。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务；第二类增值电信业务；互联网信息服务；建设工程设计；建设工程施工；建筑智能化系统设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,宝信软件
000869,生产经营葡萄酒和白兰地。,葡萄酒、白兰地,张裕、解百纳、爱斐堡、龙谕、长尾猫、黄金冰谷、醉诗仙、味美思、瑞那、巴保男爵、多名利、爱欧、歌浓和魔狮、可雅、醴泉、迷霓、派格尔、富郎多,葡萄酒、蒸馏酒、药酒、果露酒、非酒精饮料、果酱、包装材料及制品、酿酒机械的生产、加工和销售；备案范围进出口贸易；国家政策允许范围内的对外投资。,张  裕Ａ
301003,改性塑料产品的研发、生产和销售。,高性能改性尼龙(PEMARON)、高性能改性聚酯(AUTRON)、工程化聚烯烃（VENTRON）、色母粒和功能性母粒(COLORON)、改性特种工程塑料STEELRON,高性能改性尼龙、高性能改性聚酯、工程化聚烯烃、色母粒和功能性母粒、改性特种工程塑料(Steelron),一般项目：塑料制品制造；塑料制品销售；高性能纤维及复合材料制造；高性能纤维及复合材料销售；新材料技术研发；化工产品销售（不含许可类化工产品）；技术进出口；货物进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏博云
601727,能源装备业务、工业装备业务、集成服务业务。,能源装备、工业装备、集成服务,锅炉、汽轮机、汽轮发电机、风机、电梯,电站及输配电，机电一体化，交通运输、环保设备的相关装备制造业产品的设计、制造、销售，提供相关售后服务，以上产品的同类产品的批发、货物及技术进出口、佣金代理（不含拍卖），提供相关配套服务，电力工程项目总承包，设备总成套或分交，技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,上海电气
002436,PCB印制电路板，IC封装基板和半导体测试板，双面、多层印制线路板的设计、生产、购销，数字视频监控系统制造，工业控制计算机及系统制造，伺服控制机构制造，智能车载设备制造，计算机软硬件及外围设备制造。,传统高多层PCB板、软硬结合板、高密度互连HDI板、类载板（SLP）、ATE半导体测试板、封装基板,传统高多层PCB板、软硬结合板、高密度互连HDI板、类载板（SLP）、ATE半导体测试板、CSP封装基板、FCBGA封装基板,一般经营项目是：双面、多层印制线路板的设计、生产(生产项目另设营业场所，由分公司经营）、购销；国内商业、物资供销业（不含专营、专控、专卖商品）；进出口业务（按深贸管登证字第2001-079号文办）。数字视频监控系统制造；工业控制计算机及系统制造；伺服控制机构制造；智能车载设备制造；计算机软硬件及外围设备制造。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,兴森科技
